Club Name,Expenditure,Arrivals,Income,Departures,Balance,Year
Leeds United,€88.86m,22,€34.58m,26,€-54.28m,1999
Leeds United,€46.36m,31,€22.45m,29,€-23.91m,1998
Leeds United,€24.36m,36,€5.55m,29,€-18.81m,1997
Leeds United,€30.34m,28,€6.30m,30,€-24.04m,1996
Leeds United,€21.33m,24,€5.97m,27,€-15.36m,1995
Leeds United,€9.63m,24,€6.88m,21,€-2.75m,1994
Leeds United,€9.59m,20,€9.94m,19,€356k,1993
Leicester City,€17.00m,3,-,2,€-17.00m,2024
Leicester City,€61.80m,19,€106.05m,22,€44.25m,2023
Leicester City,€93.80m,26,€187.45m,29,€93.65m,2022
Leicester City,€116.60m,21,€85.40m,20,€-31.20m,2021
Leicester City,€127.00m,30,€57.77m,29,€-69.23m,2020
Leicester City,€163.70m,32,€142.27m,31,€-21.43m,2019
Leicester City,€218.90m,29,€184.30m,31,€-34.60m,2018
Leicester City,€198.45m,30,€145.90m,31,€-52.55m,2017
Leicester City,€175.95m,31,€116.15m,31,€-59.80m,2016
Leicester City,€142.00m,42,€75.50m,50,€-66.50m,2015
Leicester City,€72.76m,55,€9.45m,55,€-63.31m,2014
Leicester City,€23.36m,55,€1.15m,46,€-22.21m,2013
Leicester City,€23.82m,63,€5.40m,63,€-18.42m,2011
Leicester City,€23.44m,73,€4.24m,76,€-19.21m,2010
Leicester City,€3.31m,57,€1.92m,60,€-1.40m,2003
Leicester City,€19.20m,36,€16.53m,40,€-2.67m,2001
Leicester City,€30.90m,41,€12.73m,40,€-18.17m,2000
Leicester City,€18.00m,31,€26.28m,30,€8.28m,1999
Leicester City,€15.20m,26,€17.58m,22,€2.38m,1998
Leicester City,€12.55m,29,€3.58m,26,€-8.98m,1997
Leicester City,€12.59m,28,€6.38m,28,€-6.21m,1996
Leicester City,€13.76m,24,€9.16m,20,€-4.60m,1995
Leicester City,€8.52m,22,€6.65m,20,€-1.87m,1994
Leicester City,€4.80m,20,€1.29m,19,€-3.52m,1993
Liverpool FC,€172.00m,18,€60.70m,18,€-111.30m,2023
Liverpool FC,€314.30m,24,€141.40m,27,€-172.90m,2022
Liverpool FC,€232.30m,22,€110.25m,23,€-122.05m,2021
Liverpool FC,€174.05m,30,€46.75m,25,€-127.30m,2020
Liverpool FC,€94.45m,31,€65.20m,29,€-29.25m,2019
Liverpool FC,€192.60m,33,€89.32m,37,€-103.28m,2018
Liverpool FC,€355.85m,31,€225.82m,36,€-130.03m,2017
Liverpool FC,€253.55m,34,€269.88m,34,€16.33m,2016
Liverpool FC,€206.40m,45,€175.93m,43,€-30.47m,2015
Liverpool FC,€277.93m,49,€189.82m,45,€-88.11m,2014
Liverpool FC,€209.53m,43,€131.77m,44,€-77.76m,2013
Liverpool FC,€128.70m,37,€42.95m,41,€-85.75m,2012
Liverpool FC,€139.93m,40,€32.45m,36,€-107.48m,2011
Liverpool FC,€167.05m,42,€125.00m,42,€-42.05m,2010
Liverpool FC,€141.23m,42,€151.55m,50,€10.33m,2009
Liverpool FC,€114.95m,50,€95.00m,55,€-19.95m,2008
Liverpool FC,€162.15m,55,€93.20m,55,€-68.95m,2007
Liverpool FC,€136.70m,53,€71.48m,53,€-65.22m,2006
Liverpool FC,€90.06m,53,€43.77m,53,€-46.29m,2005
Liverpool FC,€102.46m,48,€43.61m,48,€-58.85m,2004
Liverpool FC,€74.05m,41,€24.57m,35,€-49.48m,2003
Liverpool FC,€47.15m,35,€11.80m,29,€-35.35m,2002
Liverpool FC,€63.06m,24,€40.45m,26,€-22.61m,2001
Liverpool FC,€65.56m,28,€48.26m,26,€-17.31m,2000
Liverpool FC,€88.50m,37,€31.18m,34,€-57.32m,1999
Liverpool FC,€67.99m,30,€18.60m,27,€-49.39m,1998
Liverpool FC,€32.04m,25,€20.05m,20,€-11.99m,1997
Liverpool FC,€22.05m,19,€16.02m,20,€-6.03m,1996
Liverpool FC,€22.75m,19,€4.70m,18,€-18.05m,1995
Liverpool FC,€31.31m,24,€5.45m,23,€-25.86m,1994
Liverpool FC,€20.06m,21,€4.68m,26,€-15.38m,1993
Luton Town,€25.92m,30,€300k,30,€-25.62m,2023
Luton Town,€28.48m,52,€1.15m,44,€-27.33m,2022
Manchester City,€259.60m,22,€148.80m,21,€-110.80m,2023
Manchester City,€414.60m,46,€287.97m,44,€-126.63m,2022
Manchester City,€293.90m,50,€255.97m,48,€-37.93m,2021
Manchester City,€312.30m,49,€157.80m,51,€-154.50m,2020
Manchester City,€343.22m,53,€135.00m,53,€-208.22m,2019
Manchester City,€248.41m,44,€128.60m,48,€-119.81m,2018
Manchester City,€396.09m,50,€148.95m,54,€-247.14m,2017
Manchester City,€533.75m,62,€126.70m,57,€-407.05m,2016
Manchester City,€424.72m,53,€102.79m,50,€-321.93m,2015
Manchester City,€311.27m,36,€97.74m,41,€-213.53m,2014
Manchester City,€218.30m,30,€41.60m,34,€-176.70m,2013
Manchester City,€177.45m,40,€55.60m,44,€-121.85m,2012
Manchester City,€153.00m,53,€75.50m,61,€-77.50m,2011
Manchester City,€274.66m,62,€71.35m,61,€-203.31m,2010
Manchester City,€330.91m,55,€69.35m,54,€-261.56m,2009
Manchester City,€304.65m,48,€55.70m,46,€-248.95m,2008
Manchester City,€235.30m,57,€37.06m,44,€-198.24m,2007
Manchester City,€84.45m,51,€14.76m,48,€-69.69m,2006
